undiacritized	diacritized
Emi atawọn ẹlẹgbẹẹ mi a gbe ọja iya baba mi yii kiri, lai jẹ pe baba mi mọ, ati kekere lo ti wu mi lati maa ṣowo nitori nigba miiran maa fi agbọn ṣe ohun jijẹ, maa ta a, owo ti mo ba ri nidii ẹ, maa tọju ẹ sinu kolo, eyi fi da mi loju pe owo wa lori owo ju ka ṣiṣẹ labẹ eniyan lọ.	Èmi àtàwọn ẹlẹgbẹ́ẹ̀ mi a gbé ọjà ìyá bàbá mí yìí kiri, láì jẹ́ pé bàbá mi mọ̀, àti kékeré ló ti wù mí láti máa ṣòwò nítorí nígbà mìíràn máa fi àgbọn ṣe ohun jíjẹ, màa tà á, owó tí mo bá rí nídìí ẹ̀, màá tọ́jú ẹ̀ sínú kóló, èyí fi dá mi lójú pé owó wà lórí òwò ju ká ṣiṣẹ́ lábẹ́ ènìyàn lọ.
Lati kekere ni mo ti n da owo nla ni lọwọ funra mi, eyi si tun mọ mi lara nigba ti mo deleewe yunifasiti Ibadan, nibi ti mo ti kẹkọọ nipa Geology, mo tun maa n ṣe owo pẹpẹẹpẹ nibẹ naa.	Láti kékeré ni mo ti ń dá owó ńlá ní lọ́wọ́ fúnra mi, èyí sì tún mọ́ mi lára nígbà tí mo déléèwé yunifásítì Ìbàdàn, níbi tí mo ti kẹ́kọ̀ọ́ nípa Geology, mo tún máa ń ṣe òwò pẹ́pẹ̀ẹ̀pẹ́ níbẹ̀ náà.
Ṣugbọn o, mo ba owo ṣiṣe nile ni, nitori baba mi ati iya baba mi; alajapa ni wọn lati ibẹrẹ pẹpẹ.	Ṣùgbọ́n o, mo bá òwò ṣíṣe nílé ni, nítorí bàbá mi àti ìyá bàbá mi; alájàpá ni wọ́n láti ìbẹ̀rẹ̀ pẹ̀pẹ̀.
Asejere: Njẹ idojukọ wa nipato lori owo yii?	Àsejèrè: Ǹjẹ́ ìdojúkọ wà nípàtó lórí òwò yìí?
Iyaafin Ṣoẹtan: Aimọye idojukọ ni mo ti ri ninu owo yii, ṣe nipa ka ra ọja paapaa julọ Tiles, ki gbogbo ẹ ti fọ ninu ọkọ ko too de isọ tabi ọpọ igba tawọn ole a dami lọna Kutọnu lori awọn ọja miiran ti mo ba lọọ ra nitori gbogbo-lowo ni mi, ṣugbọn eyi to jẹ idojukọ julọ lawọn ọmọ iṣẹ alaagbeda ti mo fọkan tan, ti mo gba wọn si ṣọọbu ṣugbọn wọn gbimọ pọ, wọn fi ọbẹ ẹyin jẹ mi niṣu, wọn gbe ọja bii aimọye miliọnu lọ, ṣugbọn emi naa niyi lonii, iṣoro dojukọmi, emi naa dojukọ ọ, mo dẹ dupẹ fun awọn alaaanu ti wọn gbe ọja fun mi lawin ati Ọlọrun Ọba ti ko fi mi silẹ.	Ìyáàfin Ṣóẹ̀tan: Àìmọye ìdojúkọ ni mo ti rí nínú òwò yìí, ṣé nípa ká ra ọjà pàápàá jùlọ Tiles, kí gbogbo ẹ̀ ti fọ́ nínú ọkọ̀ kó tóó dé ìsọ̀ tàbí ọ̀pọ̀ ìgbà táwọn olè á dámi lọ́nà Kútọnu lórí àwọn ọjà mííràn tí mo bá lọọ rà nítorí gbogbo-lòwò ni mí, ṣùgbọ́n èyí tó jẹ́ ìdojúkọ jùlọ làwọn ọmọ iṣẹ́ aláàgbédá tí mo fọkàn tán, tí mo gbà wọ́n sí ṣọ́ọ̀bù ṣùgbọ́n wọ́n gbìmọ̀ pọ̀, wọ́n fi ọ̀bẹ ẹ̀yìn jẹ mí níṣu, wọ́n gbé ọjà bíi àìmọye mílíọ̀nù lọ, ṣùgbọ́n èmi náà nìyí lónìí, ìṣòro dojúkọmí, èmi náà dojúkọ ọ́, mo dẹ̀ dúpẹ́ fún àwọn aláàánú tí wọ́n gbé ọjà fún mi láwìn àti Ọlọ́run Ọba tí kò fi mí sílẹ̀.
Asejere: Owo wo lẹ n ṣe ko too digba yii?	Àsejèrè: Òwò wo lẹ ń ṣe kó tóo dìgbà yìí?
Iyaafin Ṣoẹtan: Ki baba mi too doloogbe, mo ti n ṣiṣẹ nileeṣẹ Vonofoam, mo tun maa n lọọ raja ni Kutọnu, mo tun n ṣiṣẹ ni Spectars Ileeṣe MTN, ni Ṣagamu lẹyin igba ti baba mi ku tan lẹgbọn mi ni ki n darapọ mọ owo yii, nitori mo kun oju oṣuwọn; bi gbogbo rẹ ṣe gunrege niyẹn.	Ìyáàfin Ṣóẹ̀tan: Kí bàbá mì tóó dolóògbé, mo ti ń ṣiṣẹ́ níléeṣẹ́ Vonofoam, mo tún máa ń lọọ rajà ní Kútọnu, mo tún ń ṣiṣẹ́ ní Spectars Iléeṣé MTN, ní Ṣágámù lẹ́yìn ìgbà tí bàbá mi kú tán lẹ̀gbọ́n mi ní kí n darapọ̀ mọ́ òwò yìí, nítorí mo kún ojú òṣùwọ̀n; bí gbogbo rẹ̀ ṣe gúnrégé nìyẹn.
Asejere: Kin ni imọran yin fawọn to fẹẹ darapọ mọ iru iṣẹ yin yii?	Àsejèrè: Kín ni ìmọ̀ràn yín fáwọn tó fẹ́ẹ́ darapọ̀ mọ́ irú iṣẹ́ yín yìí?
Iyaafin Soetan: Lakọọkọ, owo kekere ko ṣeru iṣẹ wa yii, ṣugbọn imọran mi ni pe ki wọn bẹrẹ lati ibi iṣo tita, ọja kekere ni pẹlu ere rẹpẹtẹ.	Ìyáàfin Sóètan: Lákọ̀ọ́kọ́, owó kékeré kò ṣerú iṣẹ́ wa yìí, ṣùgbọ́n ìmọ̀ràn mi ni pé kí wọ́n bẹ̀rẹ̀ láti ibi ìṣó títà, ọjà kékeré ni pẹ̀lú èrè rẹpẹtẹ.
Asejere: Bawo ni owo yii ṣe wa ri niluu Ijẹbu Ode ati agbegbe rẹ?	Àsejèrè: Báwo ní òwò yìí ṣe wá rí nílùú Ìjẹ̀bú Òde àti àgbègbè rẹ̀?
Awọn eniyan n kọle nIjẹbu loootọ, ṣugbọn ko dabi Eko, ojojumọ ni aye n laju si i, ilu nla ni Ijẹbu, gbogbo eniyan lo n kọle ọlaju nipa lilo Tiles atawọn ohun igbalode amayerọrun bii nnkan inu ile, ati pe lasiko taa wa yii, gbogbo ayalegbe lo fẹẹ lọọ gba ile irọrun pẹlu awọn nnkan igbalode.	Àwọn ènìyàn ń kọ́lé n’Íjẹ̀bú lóòótọ́, ṣùgbọ́n kò dàbí Èkó, ojojúmọ́ ni ayé ń lajú sí i, ìlú ńlá ni Ìjẹ̀bú, gbogbo ènìyàn ló ń kọ́lé ọ̀làjú nípa lílo Tiles àtàwọn ohun ìgbàlódé amáyérọrùn bíí nǹkan inú ilé, àti pé lásìkò táa wà yìí, gbogbo ayálégbé ló fẹ́ẹ́ lọọ gba ilé ìrọ̀rùn pẹ̀lú àwọn nǹkan ìgbàlódé.
Asejere: Bawo wa lọja tita lasiko arun korona yii?	Àsejèrè: Báwo wá lọjà títà lásìkò àrùn kòrónà yìí?
Iyaafin Ṣoetan: Iyalẹnu nla lo jẹ fun emi naa pe ọja ta warawara lasiko korona yii ju ti atẹyin wa lọ, ohun to fa eyi ni pe ọpọ eeyan ni owo yii lọwọ lati fi kọle ṣugbọn nitori airi aaye lẹnu iṣẹ tabi lẹnu ọja tita wọn, wọn ko dawọle, ṣugbọn nitori konile-o-gbele, anfaani wa fun onikaluku lati mojuto ile ti wọn kọ ti tabi ti wọn n kọ lọwọ.	Ìyáàfin Ṣóètán: Ìyàlẹ́nu ńlá ló jẹ́ fún èmi náà pé ọjà tà wàràwàrà lásìkò kòrónà yìí ju ti àtẹ̀yìn wá lọ, ohun tó fa èyí ni pé ọ̀pọ̀ èèyàn ní owo yìí lọ́wọ́ láti fí kọ́lé ṣùgbọ́n nítorí aìrí ààyè lẹ́nu iṣẹ́ tàbí lẹ́nu ọjà títà wọn, wọn kò dáwọ́le, ṣùgbọ́n nítorí kónílé-ó-gbélé, ànfààní wà fún oníkálukú láti mójútó ilé tí wọ́n kọ́ tì tàbí tí wọn ń kọ́ lọ́wọ́.
Asejere: Iṣẹ ọkunrin lọpọ ro pe iṣẹ yii jẹ, ki lo wu u yin lori gẹgẹ bii obinrin?	Àsejèrè: Iṣẹ́ ọkùnrin lọ̀pọ̀ rò pé iṣẹ́ yìí jẹ́, kí ló wú u yín lórí gẹ́gẹ́ bíi obìnrin?
Iyaafin Ṣoẹtan: Ko si iṣẹ tọkunrin n ṣe tobinrin ko le ṣe, obinrin gbọdọ ṣiṣẹ lati ran ọkọ wa lọwọ, ki ọrun ma lọọ wọ ọkunrin, mo kọkọ bẹru nibẹrẹ, ṣugbọn mo dupẹ pe gbogbo ẹ lo rọrun fun mi pẹlu iranlọwọ Ọlọrun.	Ìyáàfin Ṣóẹ̀tán: Kò sí iṣẹ́ tọ́kùnrin ń ṣe tóbìnrin kò lè ṣe, obìnrin gbọdọ̀ ṣiṣẹ́ láti ran ọkọ wa lọ́wọ́, kí ọrùn má lọọ wọ ọkùnrin, mo kọ́kọ́ bẹ̀rù níbẹ̀rẹ̀, ṣùgbọ́n mo dúpẹ́ pé gbogbo ẹ̀ ló rọrùn fún mi pẹ̀lú ìrànlọ́wọ́ Ọlọ́run.
Asejere: Bawo lẹ ṣe n dojukọ awọn ọja ayederu?	Àsejèrè: Báwo lẹ ṣe ń dojúkọ àwọn ọjà ayédèrú?
Iyaafin Ṣoẹtan: Haa!	Ìyáàfin Ṣóẹ̀tan: Haa!
ọja ayederu!	ọjà ayédèrú!
Ko fi bẹẹ si ayederu ninu ọpọ ọja ti a n ta nitori lati ileeṣẹ ti wọn ti n ṣe e lati n gba a, iyatọ ibẹ ni pe oriṣii ileeṣẹ lo n ṣe e, ṣugbọn o da bii pe simẹnti maa n ni ayederu, awọn to n lo o naa ni wọn jẹ ki a mọ pe feeki simẹnti wa ati pe awọn ẹlomiiran fẹran ọja ayederu ṣugbọn awa kii ta iru ẹ.	Kò fi bẹ́ẹ̀ sí ayédèrú nínú ọ̀pọ̀ ọjà tí à ń tà nítorí láti iléeṣẹ́ tí wọ́n tí ń ṣe é lati ń gbà á, ìyàtọ̀ ibẹ̀ ni pé oríṣìí iléeṣẹ́ ló ń ṣe e, ṣùgbọ́n ó dà bíi pé sìmẹ́ńtì máa ń ní ayédèrú, àwọn tó ń lò ó náà ni wọ́n jẹ́ kí á mọ̀ pé féèkì sìmẹ́ńtì wà àti pé àwọn ẹlòmííràn fẹ́ràn ọjà ayédèrú ṣùgbọ́n àwa kìí ta irú ẹ̀.
Asejere: Laakotan, ta lo lọpẹ ninu irinajo yii?	Àsejèrè: Láákòtán, ta ló lọpẹ́ nínú ìrìnàjò yìí?
Iyaafin Ṣoẹtan: Haa!	Ìyáàfin Ṣóẹ̀tan: Háà!
Ọlọrun ni!	Ọlọ́run ni!
Ọlọrun Ọba lo lọpẹ ati baba mi nitori ọla abata lo n mu odo ṣan, ọla baba ọmọ ni i mu ọmọ i yan!	Ọlọ́run Ọba ló lọpẹ́ àti bàbá mi nítorí ọlá àbàtà ló ń mú odò ṣàn, ọlá bàbá ọmọ ní í mú ọmọ í yan!
Baba mi gbiyanju lori ọmọ nipa ilana ẹkọ kika ati owo, mo ṣi n dupẹ lọwọ baba mi; Ọtunba Joseph Ọmọṣọla(JP).	Bàbá mi gbìỳanjú lórí ọmọ nípa ìlànà ẹ̀kọ́ kíkà àti owó, mo ṣì ń dúpẹ́ lọ́wọ́ bàbá mi; Ọ̀túnba Joseph Ọmọ́ṣọlá(JP).
Baba daadaa, baba mi ọwọn!.	Bàbá dáadáa, bàbá mi ọ̀wọ́n!.
Nitori Korona, ijọba fi kọkọrọ ti ileejọsin ati ile-igbafẹ mẹtalelọgbọn lEkoo	Nítorí Kòrónà, ìjọba fi kọ́kọ́rọ́ ti iléèjọ́sìn àti ilé-ìgbafẹ́ mẹ́tàlélọ́gbọ̀n l’Ékòó
Ajọ to n ṣakoso eto aabo niipinlẹ Eko, iyẹn Lagos State Safety Commission ti gbe awọn ileejọsin ati ileegbafẹ tiye wọn to mẹtalelọgbọn pa, nitori ti wọn ṣiṣẹ lodi si agbekalẹ ijọba lori eto arun Korona to si n ja rain-rain lọwọ.	Àjọ tó ń ṣàkóso ètò ààbò níìpínlẹ̀ Èkó, ìyẹn Lagos State Safety Commission ti gbé àwọn iléèjọ́sìn àti iléègbafẹ́ tíye wọn tó mẹ́tàlélọ́gbọ̀n pa, nítorí tí wọ́n ṣiṣẹ́ lòdì sí àgbékalẹ̀ ìjọba lórí ètò àrùn Kòrónà tó sì ń jà ràiǹ-ràiǹ lọ́wọ́.
Ninu atẹjade kan tileeṣẹ naa fi ranṣẹ si ileeṣẹ Aṣejere, ajọ ọhun sọ pe yatọ sawọn ileejọsin ti wọn ti pa, lara awọn ibi ti ajọ naa tun fi kọkọrọ tilẹkun wọn pa ni ile ọti, ile ijo, ile ounjẹ, ati ibi ti wọn ti n tọju ẹya ara gbogbo, eyi si lodi sofin ijọba pe wọn ko gbọdọ ṣilẹkun lasiko yii.	Nínú àtẹ̀jáde kan tíléeṣẹ́ náà fi ránṣẹ́ sí iléeṣẹ́ Àṣejèrè, àjọ ọ̀hún sọ pé yàtọ̀ sáwọn iléèjọ́sìn tí wọ́n tì pa, lára àwọn ibi tí àjọ náà tún fi kọ́kọ́rọ́ tìlẹ̀kùn wọn pa ní ilé ọtí, ilé ìjo, ilé oúnjẹ, àti ibi tí wọ́n ti ń tọ́jú ẹ̀yà ara gbogbo, èyí sì lòdì sófin ìjọba pé wọn kò gbọdọ̀ ṣílẹ̀kùn lásìkò yìí.
Ọga agba ajọ eleto aabo ọhun, Ọgbẹni Lanre Mọjọla nigba ti wọn lọọ fi ọwọ ofin mu awọn to lodi sofin wọnyi, sọ pe ijọba ko ni kaaarẹ lati maa fọwọ ofin mu gbogbo ẹnikẹni tabi ileeṣẹ to ba tapa sofin ijọba lori igbekalẹ ati dena arun Korona to si n ja lọwọ yii.	Ọ̀gá àgbà àjọ elétò ààbò ọ̀hún, Ọ̀gbẹ́ni Lánre Mọjọlá nígbà tí wọ́n lọọ fi ọwọ́ òfin mú àwọn tó lòdì sófin wọ̀nyí, sọ pé ìjọba kò ní káàárẹ̀ láti máa fọwọ́ òfin mú gbogbo ẹnikẹ́ni tàbí iléeṣẹ́ tó bá tàpá sófin ìjọba lórí ìgbékàlẹ́ àti dènà àrùn Kòrónà tó sì ń jà lọ́wọ́ yìí.
Lara awọn ileegbafẹ tijọba fi kọkọrọ tilẹkun wọn pa ni Westgate Arena nIkosi Iṣẹri, ileegbafẹ Glovic to wa ni Toyin ni Ikẹja, Lounge 50 to wa ni Masa ni Suurulere, Innoville Shopping Plaza to wa ni Ikẹja, otẹẹli Trendor ati Esado ti wọn wa ni Fadeyi ati Ikẹja, pẹlu Ritalori to wa ni Taoridi ni Suurulere.	Lára àwọn iléègbafẹ́ tíjọba fi kọ́kọ́rọ́ tìlẹ̀kùn wọn pa ni Westgate Arena n’Íkosì Ìṣẹri, iléègbafẹ́ Glovic tó wà ní Tóyìn ní Ìkẹjà, Lounge 50 tó wà ní Màsà ní Sùúrùlérè, Innoville Shopping Plaza tó wà ní Ìkẹjà, òtẹ́ẹ̀lì Trendor àti Esado tí wọ́n wà ní Fádèyí àti Ìkẹjà, pẹ̀lú Ritalori tó wà ní Taoridi ní Sùúrùlérè.
Mọjọla ran awọn araalu leti ohun ti Gomina Babajide Sanwo-Olu sọ lori ọrọ arun naa, pe awọn to n ṣerun-loge ṣi lanfaani ati maa ṣilẹkun wọn fun awọn onibaara wọn to fẹẹ ṣerun wọn, ṣugbọn iru awọn ṣọọbu bẹẹ ko gbọdọ gba ero ju ida ogoji ninu ọgọrun un awọn onibaara ti wọn n gba wọle si ṣọọbu wọn tẹlẹ lọ.	Mọjọlá rán àwọn aráàlú létí ohun tí Gómìnà Babájídé Sanwó-Olú sọ lórí ọ̀rọ̀ àrùn náà, pé àwọn tó ń ṣerun-lóge ṣì lánfààní àti máa ṣílẹ̀kùn wọn fún àwọn oníbàárà wọn tó fẹ́ẹ ṣerun wọn, ṣùgbọ́n irú àwọn ṣọ́ọ̀bù bẹ́ẹ̀ kò gbọdọ̀ gba èrò ju ìdá ogójì nínú ọgọ́rùn ún àwọn oníbàárà tí wọ́n ń gbà wọlé sí ṣọ́ọ̀bù wọn tẹ́lẹ̀ lọ.
Bakan naa lo tun sọ pe awọn ile ounjẹ ko gbọdọ gba ẹnikẹni laye ati jokoo jẹun lọdọ wọn, ẹnikẹni to ba fẹẹ ra ounjẹ lanfaani ati ra a, ki wọn si gbe ounjẹ naa lọọ jẹ nile wọn.	Bákan náà ló tún sọ pé àwọn ilé oúnjẹ kò gbọdọ̀ gba ẹnikẹ́ni láyè àti jókòó jẹun lọ́dọ̀ wọn, ẹnikẹ́ni tó bá fẹ́ẹ́ ra oúnjẹ lánfààní àti rà á, kí wọ́n sì gbé oúnjẹ náà lọọ jẹ nílé wọn.
Mọjọla tun ni lara awọn nnkan ti gomina tun sọ ni pe kawọn onileeṣẹ to wa lẹka eto igbafẹ ati ẹka amuludun tete lọọ forukọ wọn silẹ lọdọ ajọ eto alaabo naa lori ẹrọ ayelujara wọn yii; o ni lẹyin iforukọsilẹ yii ni wọn a too le gba iyọnda latọdọ ijọba lati bẹrẹ iṣẹ, nigba ti asiko ba to.	Mọjọlá tún ni lára àwọn nǹkan tí gómìnà tún sọ ni pé káwọn oníléeṣẹ́ tó wà lẹ́ka ètò ìgbafẹ́ àti ẹka amúlúdùn tètè lọọ forúkọ wọn sílẹ̀ lọ́dọ̀ àjọ ètò aláàbò náà lórí ẹ̀rọ ayélujára wọn yìí; ó ní lẹ́yìn ìforúkọsílẹ̀ yìí ni wọ́n á tóó le gba ìyọ̀nda látọ̀dọ̀ ìjọba láti bẹ̀rẹ̀ iṣẹ́, nígbà tí àsìkò bá tó.
O pari ọrọ rẹ pe gbogbo awọn ti wọn ti gba iyọnda lati ọdọ ijọba gbọdọ ni suuru, ko seyiikeyii ninu wọn to gbọdọ ṣilẹkun ileeṣẹ rẹ titi digba tijọba fi maa fontẹ lu u pe ki wọn bẹrẹ iṣẹ ni pẹrẹu, eyi si wa nikaawọ gomina lati ṣe.	Ó parí ọ̀rọ̀ rẹ̀ pé gbogbo àwọn tí wọ́n ti gba ìyọ̀nda láti ọ̀dọ̀ ìjọba gbọdọ̀ ní sùúrù, kò séyìíkéyìí nínú wọn tó gbọdọ̀ ṣílẹ̀kùn iléeṣẹ́ rẹ̀ títí dìgbà tíjọba fi máa fòntẹ̀ lù ú pé kí wọ́n bẹ̀rẹ̀ iṣẹ́ ní pẹrẹu, èyí sì wà níkàáwọ́ gómìnà láti ṣe.
Ayọ abara bintin!	Ayọ̀ abara bíntín!
Olori Timi tiluu Ẹdẹ bi ibeji lanti-lanti	Olorì Tìmì tìlúú Ẹdẹ bí ìbejì làntì-lanti
Iro ayọ n sọ laafin ọba Timi tiluu Ẹdẹ lọwọ yii, Olori Aiṣat Yetunde, iyawo Ọba Minirudeen Adeṣọla Lawal niroyin gbe e lọọsan Satide pe o ti bi ibeji.	Ìró ayọ̀ ń sọ láàfin ọba Tìmì tìlúu Ẹdẹ lọ́wọ́ yìí, Olorì Aiṣat Yétúndé, ìyàwó Ọba Minirudeen Adéṣọlá Lawal níròyìn gbé é lọ́ọ̀sán Sátidé pé ó ti bí ìbejì.
Ọjọ Satide la gbọ pe Olori naa bi ibeji.	Ọjọ́ Sátidé la gbọ́ pé Olorì náà bí ìbejì.
Ọkan ninu awọn olori Alaafin Ọyọ, lo gbe iroyin naa sori ẹrọ ayelujara.	Ọ̀kan nínú àwọn olorì Aláàfin Ọ̀yọ́, ló gbé ìròyìn náà sórí ẹ̀rọ ayélujára.
Okiki atawọn aburo ẹ lu sikiọriti pa lọjọ ọdun keresi	Òkìkí àtàwọn àbúrò ẹ̀ lu sikíọ́rítì pa lọ́jọ́ ọdún kérésì
Ọwọ awọn ọlọpaa ipinlẹ Ogun ti tẹ awọn ọmọ iya mẹta ti wọn gbimọ pa oṣiṣẹ alaabo So Safe niipinlẹ naa.	Ọwọ́ àwọn ọlọ́pàá ìpínlẹ̀ Ògùn ti tẹ àwọn ọmọ ìyá mẹ́ta tí wọ́n gbìmọ̀ pa òṣìṣẹ́ aláàbò So Safe níìpínlẹ̀ náà.
Orukọ awọn ọmọ iya kan naa ni Okiki Mulero, ẹni ọdun mẹtalelogun, Micheal Mulero, ọdun mọkanlelogun, ati Joseph Mulero, ọdun mẹtadinlogun.	Orúkọ àwọn ọmọ ìyá kan náà ni Òkìkí Múléró, ẹni ọdún mẹ́tàlélógún, Micheal Múléró, ọdún mọ́kànlélógún, àti Joseph Múléró, ọdún mẹ́tàdínlógún.
Agbegbe Aṣero ni Abẹokuta niṣẹlẹ naa ti waye lọjọ aisun ọdun keresimesi.	Agbègbè Aṣérò ni Abẹ́òkúta nìṣẹ̀lẹ̀ náà ti wáyé lọ́jọ́ àìsùn ọdún kérésìmesì.
Ninu atẹjade ti agbẹnusọ ileeṣẹ ọlọpaa fi to Aṣejere leti, Abimbọla Oyeyẹmi sọ pe ọlọkada ni Okiki, bẹẹ lo si gbe ju ẹro kan lọ sori ọkada rẹ, ṣugbọn ofin ibi to n lọ ni pe ko gbọdọ gbe ju eeyan kan lọ.	Nínú àtẹ̀jáde tí agbẹnusọ iléeṣẹ́ ọlọ́pàá fi tó Àṣejèrè létí, Abímbọ́lá Oyèyẹmí sọ pé ọlọ́kadà ni Òkìkí, bẹ́ẹ̀ ló sì gbé ju ẹ̀ro kan lọ sórí ọ̀kadà rẹ̀, ṣùgbọ́n òfin ibi tó ń lọ ni pé kò gbọdọ̀ gbé ju èèyàn kan lọ.
N ni sikiọriti ko ba jẹ ko wọle.	N ni sikíọ́rítì kò bá jẹ́ kó wọlé.
Eyi lo mu inu bi ọmọkunrin naa, lo ba ranṣẹ pe awọn aburo rẹ, Micheal ati Joseph, wọn si bẹrẹ si i lu ẹṣọ alaabo ti wọn gba si adugbo naa, koda igi ni wọn fi lu u pa.	Èyí ló mú inú bí ọmọkùnrin náà, ló bá ránṣẹ́ pe àwọn àbúrò rẹ̀, Micheal àti Joseph, wọ́n sì bẹ̀rẹ̀ sí í lu ẹ̀ṣọ́ aláàbò tí wọ́n gbà sí àdúgbò náà, kódà igi ni wọ́n fi lù ú pa.
Lojuẹsẹ lọmọkunrin ẹṣọ alaabo So Safe yii ṣubu lulẹ.	Lójúẹsẹ̀ lọmọkùnrin ẹ̀ṣọ́ aláàbò So Safe yìí ṣubú lulẹ̀.
Ọjọ ọdun keresi gan an lo gbẹmii mi lọsibitu ti wọn gbe e lọ.	Ọjọ́ ọdún kérésì gan an ló gbẹ́mìí mì lọ́sibítù tí wọ́n gbé e lọ.
Wọn ti taari awọn ọmọ iya mẹtẹẹta sọdọ awọn ọtẹlẹmuyẹ lati tẹ siwaju pẹlu iwadii ko too di pe wọn gbe wọn lọ sileẹjọ, ṣugbọn oku ọmọkunrin ẹṣọ alaabo ọhun wa ni mọṣuari.	Wọ́n ti taari àwọn ọmọ ìyá mẹ́tẹ̀ẹ̀ta sọ́dọ̀ àwọn ọ̀tẹlẹ̀múyẹ́ láti tẹ̀ síwájú pẹ̀lú ìwádìí kó tóo di pé wọ́n gbé wọn lọ síléẹjọ́, ṣùgbọ́n òkú ọmọkùnrin ẹ̀ṣọ́ aláàbò ọ̀hún wà ní mọ́ṣúárì.
Ileeṣẹ SIFAX yọnda Aadoje miliọnu lati gbogun ti arun Korona	Iléeṣẹ́ SIFAX yọ̀nda Àádóje mílíọ̀nù láti gbógun ti àrùn Kòrónà
Sam Akinrole	Sam Akínròlé
Ileeṣẹ SIFAX ti ṣeto owo tiye rẹ to miliọnu lọna Aadoje naira, iyẹn N130 million, lati gbogun ti ajakalẹ arun nni to gbilẹ kaakiri agbaye, eyi ti a mọ si Korona, tawọn oloyinbo n pe ni COVID 19.	Iléeṣẹ́ SIFAX ti ṣètò owó tíye rẹ̀ tó mílíọ̀nù lọ́nà Àádóje náírà, ìyẹn N130 million, láti gbógun ti àjàkálẹ̀ àrùn nnì tó gbilẹ̀ káàkiri àgbáyé, èyí tí a mọ̀ sí Kòrónà, táwọn olóyìnbó ń pè ní COVID 19.
Awọn ohun eelo tawọn eleto ilera n ileeṣẹ Nigerian Ports Authority, iyẹn ileeṣẹ to n ṣakoso awọn ọja to n gba ori omi wọle silẹ wa.	Àwọn ohun èèlò táwọn elétò ìlera ń iléeṣẹ́ Nigerian Ports Authority, ìyẹn iléeṣẹ́ tó ń ṣàkóso àwọn ọjà tó ń gba orí omi wọlé sílẹ̀ wa.
Ibraheem Olugbade, tii ṣe alakooso ileeṣẹ SIFAX lo yọnda awọn ohun eelo naa.	Ibraheem Olúgbadé, tíí ṣe alákòóso iléeṣẹ́ SIFAX ló yọ̀nda àwọn ohun èèlò náà.
Ninu ọrọ tiẹ, Alaaji Abubakar Umar Ali, to jẹ ọga nileeṣẹ NPA, to wa ni Tin Can Island, lEkoo dupẹ lọwọ ileeṣẹ SIFAX fun inawosi ọhun, bẹẹ lo si ṣeleri pe awọn yoo lo ohun eelo naa bo ti tọ ati bo ti yẹ.	Nínú ọ̀rọ̀ tiẹ̀, Àlàájì Abubakar Umar Ali, tó jẹ́ ọ̀gá níléeṣẹ́ NPA, tó wà ní Tin Can Island, l’Ékòó dúpẹ́ lọ́wọ́ iléeṣẹ́ SIFAX fún ìnawósí ọ̀hún, bẹ́ẹ̀ ló sì ṣèlérí pé àwọn yóò lo ohun èèlò náà bó ti tọ́ àti bó ti yẹ.
Ọmọwe Taiwo Afọlabi (MON), ni oludasilẹ ileeṣẹ SIFAX, awọn naa tun ni aṣoju ijọba ilẹ Naijiria silẹ Djibouti.	Ọ̀mọ̀wé Taiwo Afọlábí (MON), ni olùdásílẹ̀ iléeṣẹ́ SIFAX, àwọn náà tún ni aṣojú ìjọba ilẹ̀ Nàíjíríà sílẹ̀ Djibouti.
Ọga agba patapata fun ileeṣẹ SIFAX, Adekunle Oyinloye sọ pe ki awọn ọrọ aje too le bori ooru ti arun yii mu wa, o di dandan kawọn onileeṣẹ wa bi wọn a ti tẹwọ gba iyipada lẹnu iṣẹ ti wọn yan laayo.	Ọ̀gá àgbà pátápátá fún iléeṣẹ́ SIFAX, Adékúnlé Oyinloyè sọ pé kí àwọn ọrọ̀ ajé tóó lè borí ooru tí àrùn yìí mú wá, ó di dandan káwọn oníléeṣẹ́ wá bí wọ́n á ti tẹ́wọ́ gba ìyípadà lẹ́nu iṣẹ́ tí wọ́n yàn láàyò.
Nigba to n ṣagbeyewo ipa ti arun yii ti ko lori ọrọ aje ilẹ wa, Ọgbẹni Adekunle Oyinloye, sọ diẹ ninu awọn ipenija ti wọn n koju gẹgẹ bii ileeṣẹ.	Nígbà tó ń ṣàgbeyèwó ipa tí àrùn yìí ti kó lórí ọrọ̀ ajé ilẹ̀ wa, Ọ̀gbẹ́ni Adékúnlé Oyinloyè, sọ diẹ̀ nínú àwọn ìpèníjà tí wọ́n ń kojú gẹ́gẹ́ bìí iléeṣẹ́.
O ni lara awọn ipenija naa ni bi ọja ṣe le de ibi to yẹ ko lọ lọdọ awọn onibaara, bi nnkan ṣe gbowo lori, ailowo lọwọ fun awọn onibaara lati ra ọja ti wọn fẹẹ ra ati bi ọrọ aje awọn olokoowo keekeke ṣe n dẹnukọlẹ.	Ó ní lára àwọn ìpèníjà náà ni bí ọjà ṣe le dé ibi tó yẹ kó lọ lọ́dọ̀ àwọn oníbáárà, bí nǹkan ṣe gbówó lórí, àìlówó lọ́wọ́ fún àwọn oníbàárà láti ra ọjà tí wọ́n fẹ́ẹ́ rà àti bí ọrọ̀ ajé àwọn olókoòwò kéèkèké ṣe ń dẹnukọlẹ̀.
